TeamName,ObservationDate,RivalTeam,Attack,Midfield,Defence,TransferBudget,Defensive Style,DefensiveWidth,Depth,Offensive Style,Width,Players In Box,Corners,Free Kicks,Captain,Short Free Kick,Long Free Kick,Penalties,Left Corner,Right Corner,TeamRoster,LoanedPlayers
Aston Villa,"April 11, 2022",West Bromwich Albion,79,78,79,37500000,Balanced,50,60,Balanced,50,5,3,3,Mings,Digne,Douglas Luiz,Watkins,McGinn,Digne,"['Emiliano Martínez', 'Matty Cash', 'Ezri Konsa', 'Tyrone Mings', 'Lucas Digne', 'Douglas Luiz', 'John McGinn', 'Jacob Ramsey', 'CoutinhoL', 'Ollie Watkins', 'Danny Ings', 'Ashley Caroca', 'Morgan Sanson', 'Carney Chukwuemeka', 'Calum Chambers', 'Robin Olsen', 'Leon Bailey', 'Emiliano Buendía', 'Kortney Hause', 'Marvelous Nakamba', 'Bertrand Traoré', 'Ben Chrisene', 'Brad Caroca', ""Tommi O'Reilly"", 'Dominic Revan', 'Indiana Vassilev']","['Matt Targett', 'Frédéric Guilbert', 'Anwar El Ghazi', 'Trezeguet', 'Conor Hourihane', 'Jed Steer', 'Keinan Davis', 'Cameron Archer', 'Finn Azaz', 'Louie Barry', 'Kaine Kesler Hayden', 'Tyreik Wright', 'Aaron Ramsey']"
Cagliari,"April 21, 2022",Napoli,75,72,69,10000000,Drop Back,60,50,Balanced,60,5,3,3,João Pedro,João Pedro,Marin,João Pedro,Marin,João Pedro,"['Alessio Cragno', 'Giorgio Altare', 'Edoardo Goldaniga', 'Andrea Carboni', 'Alberto GrassiL', 'Raoul BellanovaL', 'Nahitan Nández', 'Răzvan Marin', 'DalbertL', 'Gastón Pereiro', 'João Pedro', 'Keita Baldé', 'Alessandro Deiola', 'Matteo LovatoL', 'Charalampos Lykogiannis', 'Boris Radunović', 'Leonardo Pavoletti', 'Luca Ceppitelli', 'Gabriele O. Islas', 'Daniele Baselli', 'Simone Aresti', 'Kevin StrootmanL', 'Sebastian Walukiewicz', 'Marko Rog', 'Lisandru Tramoni', 'Damir Ceter']","['Giovanni Simeone', 'Guglielmo Vicario', 'Senna Miangue']"
Bayern München,"April 21, 2022",Borussia Dortmund,92,85,82,100000000,Pressure On Heavy Touch,40,80,Possession,80,8,3,3,Neuer,Sané,Sané,Lewandowski,Kimmich,Kimmich,"['Manuel Neuer', 'Benjamin Pavard', 'Dayot Upamecano', 'Niklas Süle', 'Alphonso Davies', 'Joshua Kimmich', 'Leon Goretzka', 'Leroy Sané', 'Kingsley Coman', 'Thomas Müller', 'Robert Lewandowski', 'Marcel Sabitzer', 'Jamal Musiala', 'Omar Richards', 'Tanguy Nianzou', 'Sven Ulreich', 'Eric Maxim Choupo-Moting', 'Serge Gnabry', 'Marc Roca', 'Bouna Sarr', 'Josip Stanišić', 'Christian Früchtl', 'Lucas Hernández', 'Corentin Tolisso', 'Malik Tillman', 'Taylor Booth', 'Jamie Lawrence', 'Timo Kern']","['Alexander Nübel', 'Chris Richards', 'Joshua L. Maciel', 'Adrian Fein', 'Lars Lukas Mai', 'Jann-Fiete Arp', 'Ron-Thorben Hoffmann']"
RCD Espanyol,"April 25, 2022",FC Barcelona,82,77,75,6000000,Balanced,60,50,Balanced,60,4,3,3,Diego López,De Tomás,De Tomás,De Tomás,,,"['Diego López', 'Nawaz', 'Calero', 'Leandro Cabrera', 'Adrià Pedrosa', 'Keidi Bare', 'Puado', 'J. Campos HerreraL', 'Sergi Darder', 'De Tomás', 'Melendo', 'Manu MorlanesL', 'Sergi Gómez', 'Oier', 'Landry Dimata', 'Embarba', 'Nicolás Melamed Ribaudo', 'David López', 'LorenL', 'Wu Lei', 'Fran Mérida', 'Dídac Vilà', 'Miguelón', 'Jofre Carreras', 'Tsvetkov', 'Rubén Sánchez Sáez', 'Svensson', 'Gori', 'Recasens', 'Joan García']","['Matías Vargas', 'Vadillo', 'Pol Lozano', 'Víctor Gómez']"
Manchester United,"April 25, 2022",Liverpool,85,83,81,175000000,Pressure On Heavy Touch,40,60,Balanced,70,4,3,3,Maguire,Cristiano Ronaldo,Bruno Fernandes,Cristiano Ronaldo,Bruno Fernandes,Alex Telles,"['De Gea', 'Diogo Dalot', 'Raphaël Varane', 'Harry Maguire', 'Alex Telles', 'Scott McTominay', 'Paul Pogba', 'Bruno Fernandes', 'Marcus Rashford', 'Cristiano Ronaldo', 'Jadon Sancho', 'Edinson Cavani', 'Nemanja Matić', 'Anthony Elanga', 'Victor Lindelöf', 'Dean Henderson', 'Fred', 'Luke Shaw', 'Aaron Wan-Bissaka', 'Jesse Lingard', 'Eric Bailly', 'Juan Mata', 'Phil Jones', 'Tom Heaton', 'Hannibal Mejbri', 'Shola Shoretire', 'Lee Grant', 'Inpyo Iqbal', 'Charlie Savage', 'Björn Hardley', ""D'Mani Mellor"", 'Charlie Wellens']","['Anthony Martial', 'Donny Rösler', 'Brandon Williams', 'Axel Tuanzebe', 'James Garner', 'Tahith Chong', 'Ethan Laird', 'Facundo Pellistri', ""Di'Shon Bernard"", 'Amad Diallo', 'Teden Mengi', 'Dylan Levitt']"
Milan,"April 11, 2022",Inter,81,80,81,37000000,Balanced,50,60,Balanced,50,8,3,3,Romagnoli,Brahim,Brahim,Kessié,Brahim,Brahim,"['Mike Maignan', 'Davide Calabria', 'Fikayo Tomori', 'Alessio Romagnoli', 'Theo Hernández', 'Sandro Tonali', 'Franck Yannick Kessié', 'Junior MessiasL', 'Rafael Leão', 'BrahimL', 'Olivier Giroud', 'Esterilla Ibrahimović', 'Ante Rebić', 'Ismaël Bennacer', 'Fodé Ballo-Touré', 'Ciprian Tătărușanu', 'Alexis Saelemaekers', 'Rade Krunić', 'Alessandro Florenzi', 'Daniel Maldini', 'Pierre Kalulu', 'Tiemoué BakayokoL', 'Matteo Gabbia', 'Samu Castillejo', 'Simon Kjær']","['J. Montero Adli', 'Mattia Caldara', 'Jens Petter Hauge', 'Tommaso Pobega', 'Léo Duarte', 'Nikolaos Michelis']"
Liverpool,"April 11, 2022",Manchester United,86,84,85,95000000,Press After Possession Loss,60,70,Balanced,70,6,3,3,Henderson,Alexander-Arnold,Alexander-Arnold,Salah,Robertson,Alexander-Arnold,"['Alisson', 'Trent Alexander-Arnold', 'Joel Matip', 'Virgil Yáñez', 'Andrew Robertson', 'Fabinho', 'Jordan Henderson', 'Thiago', 'Diogo Jota', 'Mohamed Salah', 'Sadio Mané', 'Alex Oxlade-Chamberlain', 'Joe Gomez', 'Ibrahima Konaté', 'Konstantinos Tsimikas', 'Caoimhin Kelleher', 'Roberto Firmino', 'James Milner', 'Naby Keïta', 'Curtis Jones', 'Luis Díaz', 'Divock Origi', 'Harvey Elliott', 'Takumi Minamino', 'Tyler Morton', 'Rhys Williams', 'Adrián', 'Loris Karius', 'Tom Clayton', 'Billy Koumetio', 'Conor Bradley', 'Leighton Clarkson']","['Nathaniel Phillips', 'Ben Davies', 'Sepp Tjærandsen-Skau', 'Neco Williams', 'Sheyi Ojo', 'Ben Woodburn', 'Anderson Arroyo', 'Adam Lewis', 'Jake Cain', 'Paul Glatzel']"
Stade Brestois 29,"April 21, 2022",En Avant Guingamp,71,73,73,6500000,Pressure On Heavy Touch,60,50,Balanced,70,7,3,3,Chardonnet,Honorat,Honorat,Honorat,Honorat,Honorat,"['Marco Bizot', 'Ronaël Pierre-GabrielL', 'Brendan Chardonnet', 'Christophe Hérelle', 'Jean-Kévin Duverne', 'Haris Belkebla', 'Romain Del Castillo', 'Franck Honorat', 'Hugo Magnetti', 'Jere Uronen', 'Lilian Brassier', 'Gautier Larsonneur', 'Steve Mounié', 'Jérémy Le Douaron', 'Julien Faussurier', 'Irvin Cardona', ""Hianga'a Mbock"", 'Denys Bain', 'Rafiki Saïd', 'Sébastien Cibois', 'Grégoire Coudert', 'Noé Sow']",['Romain Philippoteaux']
West Ham United,"April 11, 2022",Millwall,80,79,76,35000000,Drop Back,50,50,Balanced,70,4,3,3,Rice,Cresswell,Rice,Rice,Cresswell,Bowen,"['Yvo Fabiański', 'Ben Johnson', 'Craig Dawson', 'Issa Diop', 'Aaron Cresswell', 'Tomáš Souček', 'Declan Rice', 'Jarrod Bowen', 'Pablo Fornals', 'Manuel Lanzini', 'Michail Antonio', 'Nikola Vlašić', 'Saïd Benrahma', 'Andriy Jozefzoon', 'Ryan Fredericks', 'Alphonse AreolaL', 'Mark Noble', 'Arthur Masuaku', 'Alex Král', 'Jamal Baptiste', 'Sonny Perkins', 'Vladimír Coufal', 'Kurt J. Diaz', 'Angelo Ogbonna', 'Darren Randolph', 'David Martin', 'Ajibola Alese', 'Pierre Ekwah Elimby', 'Armstrong Okoflex', 'Keenan Appiah-Forson', 'Harrison Ashby', 'Amadou Diallo']","['Nathan Holland', 'Nathan Trott', 'Gonçalo Cardoso', 'Conor Coventry', 'Joseph Anang', 'Ademipo Odubeko']"
Leeds United,"April 25, 2022",Huddersfield Town,77,78,75,32500000,Press After Possession Loss,60,60,Possession,50,4,3,3,Cooper,Raphinha,Raphinha,Raphinha,Dallas,Raphinha,"['Illan Meslier', 'Luke Ayling', 'Diego Llorente', 'Liam Cooper', 'Stuart Dallas', 'Mateusz Klich', 'Robin Koch', 'Raphinha', 'Jack Harrison', 'Rodrigo', 'Daniel James', 'Joe Gelhardt', 'Adam Forshaw', 'Crysencio Summerville', 'Pascal Struijk', 'Kristoffer Klaesson', 'Kalvin Phillips', 'Tyler Roberts', 'Leo Hjelde', 'Jack Jenkins', 'Lewis Bate', 'Junior Firpo', 'Patrick Bamford', 'Jamie Shackleton', 'Charlie Cresswell', 'Sam Greenwood', 'Amari Miller', 'Dani Forino']","['Hélder Costa', 'Francisco Casilla Cortés', 'Ian Poveda', 'Cody Drameh', 'Mateusz Bogusz', 'Laurens De Bock', 'Leif Davis', 'Alfie McCalmont', 'Ryan Edmondson']"
RC Strasbourg,"May 2, 2022",FC Metz,77,74,75,7500000,Balanced,40,70,Balanced,70,4,3,3,Liénard,Thomasson,Liénard,Ajorque,Guilbert,Prcić,"['Matz Sels', 'Frédéric GuilbertL', 'Alexander Djiku', 'Gerzino Nyamsi', 'Anthony Caci', 'Dimitri Liénard', 'Adrien Thomasson', 'Sanjin Prcić', 'Jean-Ricner Bellegarde', 'Kévin Gameiro', 'Ludovic Ajorque', 'Ibrahima Sissoko', 'Jean-Eudes AholouL', 'Lucas PerrinL', 'Karol Fila', 'Eiji Kawashima', 'Habib Diallo', 'Majeed Waris', 'Ismaël Doukouré', 'Moïse Sahi', 'Marvin Elimbi', 'Habib Diarra', 'Maxime Le Marchand']","['Bingourou Kamara', 'Lebo Mothiba', 'Mehdi Chahiri', 'Mahamé Siby', 'Marvin Senaya']"
Genoa,"April 21, 2022",Sampdoria,72,72,72,8500000,Balanced,50,50,Long Ball,60,3,3,3,Criscito,Rovella,Rovella,Criscito,Rovella,Rovella,"['Salvatore Sirigu', 'Silvan Hefti', 'Nikola Maksimović', 'Johan VásquezL', 'Domenico Criscito', 'Milan Badelj', 'Stefano Sturaro', 'Nicolò Rovella', 'Caleb Ekuban', 'Mattia Destro', 'Kelvin Hyuk Jin', 'Roberto PiccoliL', 'Rodrigo Ely Kallon', 'Edmonds Green VanheusdenL', 'Andrea Cambiaso', 'Adrian A. Pabón', 'Manolo Portanova', 'Leo DwomohL', 'HernaniL', 'Andrea Masiello', 'Filippo Melegoni', 'Riccardo Calafiori', 'Paolo Ghiglione', 'Mattia Bani', 'Rok Vodišek', 'Federico Marchetti', 'Nadiem AmiriL', 'Albert Guðmundsson', 'Morten Frendrup', 'Lennart Czyborra', 'Aleksander Buksa']","['Felipe Caicedo', 'Abdoulaye Touré', 'Davide Biraschi', 'Lukas Lerager', 'Kevin Agudelo', 'Paweł Jaroszyński']"
Everton,"April 25, 2022",Liverpool,78,78,77,49000000,Balanced,50,50,Balanced,60,3,3,3,Coleman,Gordon,Gordon,Calvert-Lewin,Gordon,Gordon,"['Jordan Pickford', 'Séamus Coleman', 'Ben Godfrey', 'Michael Keane', 'Vitaliy Mykolenko', 'Allan', 'Abdoulaye Doucouré', 'Donny RöslerL', 'Anthony Gordon', 'Dominic Calvert-Lewin', 'Richarlison', 'Salomón Rondón', 'Andros Townsend', 'Alex Iwobi', 'Mason Holgate', 'Asmir Begović', 'Dele Alli', 'Demarai Gray', 'Anwar El GhaziL', 'André Gomes', 'Tom Davies', 'Fabian Delph', 'Luís Mina', 'Jarrad Branthwaite', 'Jonjoe Kenny', 'Cenk Tosun', 'Nathan Patterson', 'Lewis Dobbin', 'Gylfi Sigurðsson', 'Kyle John', 'Andy Lonergan', 'Tyler Onyango', 'Ryan Astley']","['Moise Kean', 'João Virgínia', 'Ellis Simms', 'Niels Nkounkou', 'Nathan Broadhead', 'Lewis Gibson']"
Real Betis Balompié,"April 25, 2022",Sevilla FC,80,79,78,16000000,Press After Possession Loss,60,70,Balanced,60,7,3,3,Guardado,Fekir,Canales,,Fekir,Fekir,"['Claudio Bravo', 'Héctor Bellerín MorunoL', 'Germán Pezzella', 'Bartra', 'A. Stephens', 'Guido Rodríguez', 'Andrés Guardado', 'Canales', 'Juanmi', 'Nabil Fekir', 'William Carvalho', 'Víctor Ruiz', 'Miranda', 'Montoya', 'Rui Silva', 'Willian JoséL', 'Joaquín', 'Opazo Sabaly', 'Edgar', 'Cristian Tello', 'Diego Lainez', 'Aitor Ruibal', 'Camarasa', 'Paul Akouokou', 'Rodri', 'Bešić Fekir', 'Kike Hermoso', 'Raúl García', 'Juan Cruz', 'José Lara', 'Gonçalo CardosoL', 'Joel Robles']","['Loren', 'Daniel Martín Fernández', 'Rober']"
RC Lens,"April 25, 2022",LOSC Lille,74,76,75,8500000,Pressure On Heavy Touch,50,60,Balanced,50,6,3,3,Fofana,Clauss,Clauss,Kakuta,Clauss,Clauss,"['Wuilker Faríñez', 'Jonathan Clauss', 'Jonathan Gradit', 'Kevin Danso', 'Facundo Medina', 'Massadio Haïdara', 'Cheick Doucouré', 'Seko Fofana', 'Gaël Kakuta', 'Florian Sotoca', 'Arnaud KalimuendoL', 'David Costa', 'Patrick Berg', 'Przemysław Frankowski', 'Christopher Wooh', 'Jean-Louis Leca', 'Wesley Saïd', 'Ignatius Ganago', 'Lacerda Cahuzac', 'Corentin Jean', 'Deiver Machado', 'Samba Sow', 'Jules Keita', 'Ibrahima Baldé', 'Lacerda Pandor', 'Valentino Lesieur', 'Mamadou Camara']","['Simon Banza', 'Steven Fortes', 'Gaëtan Robail', 'Ismaël Boura', 'Jonathan Varane', 'Tom Ducrocq']"
Leicester City,"April 11, 2022",Nottingham Forest,80,80,78,50000000,Balanced,50,50,Balanced,60,4,3,3,Schmeichel,Maddison,Maddison,Tielemans,Maddison,Maddison,"['Kasper Schmeichel', 'Ricardo Pereira', 'Daniel Amartey', 'HyunGyu Söyüncü', 'Luke Thomas', 'Jemerson Tielemans', 'Wilfred Ndidi', 'James Maddison', 'Harvey Barnes', 'Kiernan Dewsbury-Hall', 'Patson Daka', 'Kelechi Iheanacho', 'Timothy Castagne', 'Wesley Fofana', 'James Justin', 'Danny Ward', 'Ademola LookmanL', 'Boubakary Soumaré', 'Ayoze Pérez', 'Marc Albrighton', 'Nampalys Mendy', 'Jonny Evans', 'Jamie Vardy', 'Ryan Bertrand', 'Jannik Vestergaard', 'Hamza Choudhury', 'Eldin Jakupović', 'Callum Hulme', 'Thanawat Suengchitthawon', 'Lewis Brunt']","['Dennis Praet', 'Daniel Iversen', 'Callum Wright', 'George Hirst', 'Josh Eppiah', 'Tyrese Shade', 'Vontae Daley-Campbell']"
Newcastle United,"April 11, 2022",Sunderland,77,77,77,30000000,Balanced,50,50,Possession,60,4,3,3,Shelvey,Shelvey,Shelvey,Shelvey,Fraser,Fraser,"['Martin Dúbravka', 'Manquillo', 'Fabian Schär', 'Dan Burn', 'Matt TargettL', 'Ryan Fraser', 'Joe Willock', 'Jonjo Shelvey', 'Joelinton', 'Allan Saint-Maximin', 'Chris Wood', 'Jacob Murphy', 'Matt Ritchie', 'Emil Krafth', 'Jamal Lewis', 'Karl Darlow', 'Miguel Almirón', 'Sean Longstaff', 'Bruno Guimarães', 'Jamaal Lascelles', 'Federico Fernández', 'Kieran Trippier', 'Ciaran Clark', 'Isaac Hayden', 'Callum Wilson', 'Dwight Gayle', 'Paul Dummett', 'Mark Gillespie', 'Santiago MuñozL', 'Remi Savage', 'Jake Turner', 'Lewis Cass', 'Dan Langley']","['Freddie Woodman', 'Jeff Hendrick', 'Matthew Longstaff', 'Kelland Watts', 'Elliot Anderson', 'Joe White', 'Jack Caroca']"
Bergamo Calcio,"April 11, 2022",Milan,82,79,79,20000000,Balanced,50,80,Balanced,60,5,3,3,Rafael Tolói,Malinovskyi,Freuler,Malinovskyi,Malinovskyi,Malinovskyi,"['Juan Musso', 'Rafael Tolói', 'Merih Demiral', 'Berat Djimsiti', 'Hans Hateboer', 'Marten Nikko', 'Remo Freuler', 'Davide Hegerberg', 'Ruslan Malinovskyi', 'Mario Pašalić', 'Duván Ma J', 'Luis Muriel', 'Jérémie BogaL', 'Matteo Pessina', 'Joakim Mæhle', 'Marco Sportiello', 'Teun Koopmeiners', 'José Luis Palomino', 'Valentin MihăilăL', 'Alexey Miranchuk', 'Francesco Rossi', 'Giuseppe PezzellaL', 'Josip Iličić', 'Alassane Sidibe', 'Moustapha Cissé']","['Robin Gosens', 'Cristian Romero', 'Pierluigi Gollini', 'Matteo Lovato', 'Viktor Kovalenko', 'Sam Lammers', 'Boško D.Nealis', 'Arkadiusz Reca', 'Nicolas Haas', 'Roberto Piccoli', 'Ebrima Colley', 'Matteo Ruggeri', 'Rodrigo Guth', 'Nadir Sabiri']"
Arminia Bielefeld,"May 2, 2022",VfL Bochum,71,72,71,2300000,Drop Back,60,30,Balanced,60,3,3,3,Prietl,Okugawa,Vasiliadis,Okugawa,Okugawa,Wimmer,"['Stefan Ortega', 'Nathan De Medina', 'Amos Pieper', 'Joakim Nilsson', 'Jacob Barrett Laursen', 'Sebastian Vasiliadis', 'Manuel Prietl', 'Patrick Wimmer', 'Robin Hack', 'Masaya Okugawa', 'Janni Serra', 'Gonzalo Castro', 'Alessandro Schöpf', 'Florian Krüger', 'Guilherme Ramos', 'Stefanos Kapino', 'Bryan Lasme', 'Andrés AndradeL', 'George Bello', 'Fabian Klos', 'Vladislav Cherny', 'Fabian Kunze', 'Julian Frommann', 'Arne Schulz', 'Cédric Brunner', 'Burak Ince']","['Mike Aga', 'Christian Gebauer', 'Noel Niemann', 'Jomaine Consbruch', 'Sebastian Müller']"
